SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY
100002,1,Cash loans,M,N,Y,0,202500.0,406597.5,24700.5
100003,0,Cash loans,F,N,N,0,270000.0,1293502.5,35698.5
100004,0,Revolving loans,M,Y,Y,0,67500.0,135000.0,6750.0
100006,0,Cash loans,F,N,Y,0,135000.0,312682.5,29686.5
100007,0,Cash loans,M,N,Y,0,121500.0,513000.0,21865.5
100008,0,Cash loans,M,N,Y,0,99000.0,490495.5,27517.5
100009,0,Cash loans,F,Y,Y,1,171000.0,1560726.0,41301.0
100010,0,Cash loans,M,Y,Y,0,360000.0,1530000.0,42075.0
100011,0,Cash loans,F,N,Y,0,112500.0,1019610.0,33826.5
100012,0,Revolving loans,M,N,Y,0,135000.0,405000.0,20250.0
100014,0,Cash loans,F,N,Y,1,112500.0,652500.0,21177.0
100015,0,Cash loans,F,N,Y,0,38419.155,148365.0,10678.5
